tid,entity_one_name,entity_one_id,entity_one_type,entity_two_name,entity_two_id,entity_two_type,relation_name,pmid,sentance,score,sentence,source_id,head_entity,head_entity_type,head_entity_id,tail_entity,tail_entity_type,tail_entity_id,article_title,article_authors,article_first_author,article_journal,article_publication_year,article_publication_type,contextual_features
"C0036341.C0004936.2.17767166.1.0","Schizophrenia","C0036341","disease","Mental disorders","C0004936","disease","hyponym_of","17767166","Schizophrenia is a chronic, complex and heterogeneous mental disorder, with pathological features of disrupted neuronal excitability and plasticity within limbic structures of the brain.","18.41723","Schizophrenia is a chronic, complex and heterogeneous mental disorder, with pathological features of disrupted neuronal excitability and plasticity within limbic structures of the brain.","","Schizophrenia","disease","C0036341","Mental disorders","disease","C0004936","Activation of mGlu2/3 receptors as a new approach to treat schizophrenia: a randomized Phase 2 clinical trial.","Patil Sandeep T, Zhang Lu, Martenyi Ferenc, Lowe Stephen L, Jackson Kimberley A, Andreev Boris V, Avedisova Alla S, Bardenstein Leonid M, Gurovich Issak Y, Morozova Margarita A, Mosolov Sergey N, Neznanov Nikolai G, Reznik Alexander M, Smulevich Anatoly B, Tochilov Vladimir A, Johnson Bryan G, Monn James A, Schoepp Darryle D","Patil Sandeep T","Nature medicine","2007","Clinical Trial, Phase II, Journal Article, Randomized Controlled Trial","[object Object]"
"C0036341.C0004936.2.27783064.1.0","Schizophrenia","C0036341","disease","Mental disorders","C0004936","disease","hyponym_of","27783064","Recent genomic studies have revealed the highly polygenic nature of psychiatric disorders, including schizophrenia, bipolar disorder and major depressive disorder.","18.41723","Recent genomic studies have revealed the highly polygenic nature of psychiatric disorders, including schizophrenia, bipolar disorder and major depressive disorder.","","Schizophrenia","disease","C0036341","Mental disorders","disease","C0004936","The implications of the shared genetics of psychiatric disorders.","O'Donovan Michael C, Owen Michael J","O'Donovan Michael C","Nature medicine","2016","Journal Article, Research Support, Non-U.S. Gov't","[object Object]"
"C0036341.C0004936.2.28112735.8.0","Schizophrenia","C0036341","disease","Mental disorders","C0004936","disease","hyponym_of","28112735","The decreased activity observed in 5-SNP-expressing mice resembles the hypofrontality observed in patients with psychiatric disorders, including schizophrenia and addiction.","18.41723","The decreased activity observed in 5-SNP-expressing mice resembles the hypofrontality observed in patients with psychiatric disorders, including schizophrenia and addiction.","","Schizophrenia","disease","C0036341","Mental disorders","disease","C0004936","Nicotine reverses hypofrontality in animal models of addiction and schizophrenia.","Koukouli Fani, Rooy Marie, Tziotis Dimitrios, Sailor Kurt A, O'Neill Heidi C, Levenga Josien, Witte Mirko, Nilges Michael, Changeux Jean-Pierre, Hoeffer Charles A, Stitzel Jerry A, Gutkin Boris S, DiGregorio David A, Maskos Uwe","Koukouli Fani","Nature medicine","2017","Journal Article","[object Object]"
"C0041696.C0004936.2.27783064.1.0","Major Depression","C0041696","disease","Mental disorders","C0004936","disease","hyponym_of","27783064","Recent genomic studies have revealed the highly polygenic nature of psychiatric disorders, including schizophrenia, bipolar disorder and major depressive disorder.","18.01723","Recent genomic studies have revealed the highly polygenic nature of psychiatric disorders, including schizophrenia, bipolar disorder and major depressive disorder.","","Major Depression","disease","C0041696","Mental disorders","disease","C0004936","The implications of the shared genetics of psychiatric disorders.","O'Donovan Michael C, Owen Michael J","O'Donovan Michael C","Nature medicine","2016","Journal Article, Research Support, Non-U.S. Gov't","[object Object]"
"C0036341.C0004936.2.21068826.1.0","Schizophrenia","C0036341","disease","Mental disorders","C0004936","disease","hyponym_of","21068826","How will we view schizophrenia in 2030? Schizophrenia today is a chronic, frequently disabling mental disorder that affects about one per cent of the world's population.","17.88512","How will we view schizophrenia in 2030? Schizophrenia today is a chronic, frequently disabling mental disorder that affects about one per cent of the world's population.","","Schizophrenia","disease","C0036341","Mental disorders","disease","C0004936","Rethinking schizophrenia.","Insel Thomas R","Insel Thomas R","Nature","2010","Historical Article, Journal Article","[object Object]"
"C0011570.C0004936.2.23187693.1.0","depression","C0011570","disease","Mental disorders","C0004936","disease","hyponym_of","23187693","Although an influence of adult neurogenesis in mediating some of the effects of antidepressants has received considerable attention in recent years, much less is known about how alterations in this form of plasticity may contribute to psychiatric disorders such as anxiety and depression.","17.46313","Although an influence of adult neurogenesis in mediating some of the effects of antidepressants has received considerable attention in recent years, much less is known about how alterations in this form of plasticity may contribute to psychiatric disorders such as anxiety and depression.","","depression","disease","C0011570","Mental disorders","disease","C0004936","Neurogenesis and generalization: a new approach to stratify and treat anxiety disorders.","Kheirbek Mazen A, Klemenhagen Kristen C, Sahay Amar, Hen René","Kheirbek Mazen A","Nature neuroscience","2012","Journal Article, Research Support, N.I.H., Extramural, Research Support, Non-U.S. Gov't, Review","[object Object]"
"C0011570.C0004936.2.31567042.1.0","depression","C0011570","disease","Mental disorders","C0004936","disease","hyponym_of","31567042","Depression remains one of the most prevalent psychiatric disorders, with many patients not responding adequately to available treatments.","17.43346","Depression remains one of the most prevalent psychiatric disorders, with many patients not responding adequately to available treatments.","","depression","disease","C0011570","Mental disorders","disease","C0004936","Depression's Unholy Trinity: Dysregulated Stress, Immunity, and the Microbiome.","Cruz-Pereira Joana S, Rea Kieran, Nolan Yvonne M, O'Leary Olivia F, Dinan Timothy G, Cryan John F","Cruz-Pereira Joana S","Annual review of psychology","2020","Journal Article, Research Support, Non-U.S. Gov't, Review","[object Object]"
"C0011570.C0004936.2.30994872.1.0","depression","C0011570","disease","Mental disorders","C0004936","disease","hyponym_of","30994872","Importance The role of large, rare copy number variants (CNVs) in neuropsychiatric disorders is well established, but their association with common psychiatric disorders, such as depression, remains unclear.","17.37733","Importance The role of large, rare copy number variants (CNVs) in neuropsychiatric disorders is well established, but their association with common psychiatric disorders, such as depression, remains unclear.","","depression","disease","C0011570","Mental disorders","disease","C0004936","Association of Rare Copy Number Variants With Risk of Depression.","Kendall Kimberley Marie, Rees Elliott, Bracher-Smith Matthew, Legge Sophie, Riglin Lucy, Zammit Stanley, O'Donovan Michael Conlon, Owen Michael John, Jones Ian, Kirov George, Walters James Tynan Rhys","Kendall Kimberley Marie","JAMA psychiatry","2019","Journal Article, Research Support, Non-U.S. Gov't","[object Object]"
"C0011570.C0004936.2.30516814.1.0","depression","C0011570","disease","Mental disorders","C0004936","disease","hyponym_of","30516814","Importance Infections have been associated with increased risks for mental disorders, such as schizophrenia and depression.","17.37733","Importance Infections have been associated with increased risks for mental disorders, such as schizophrenia and depression.","","depression","disease","C0011570","Mental disorders","disease","C0004936","A Nationwide Study in Denmark of the Association Between Treated Infections and the Subsequent Risk of Treated Mental Disorders in Children and Adolescents.","Köhler-Forsberg Ole, Petersen Liselotte, Gasse Christiane, Mortensen Preben B, Dalsgaard Soren, Yolken Robert H, Mors Ole, Benros Michael E","Köhler-Forsberg Ole","JAMA psychiatry","2019","Journal Article, Research Support, Non-U.S. Gov't","[object Object]"
"C0011570.C0004936.2.37286432.1.0","depression","C0011570","disease","Mental disorders","C0004936","disease","hyponym_of","37286432","Depression is a common mental disorder characterized by heterogeneous cognitive and behavioral symptoms.","17.33446","Depression is a common mental disorder characterized by heterogeneous cognitive and behavioral symptoms.","","depression","disease","C0011570","Mental disorders","disease","C0004936","Functional connectomics in depression: insights into therapies.","Chai Ya, Sheline Yvette I, Oathes Desmond J, Balderston Nicholas L, Rao Hengyi, Yu Meichen","Chai Ya","Trends in cognitive sciences","2023","Journal Article, Review, Research Support, N.I.H., Extramural, Research Support, Non-U.S. Gov't","[object Object]"
